DISTRICT,Normal (mm),Actual (mm),Normal (mm),Actual (mm),Normal (mm),Actual (mm),No. of Rainy Days,Normal (mm),Actual (mm),Deviation (%),Status,average
Srikakulam,99.24,7.25,2.78,109.02,6.14,0,78,996.88,1069.73,7.31,Normal,263.2266667
Vizianagaram,79.21,13.04,4.13,148.02,9.17,0,77,938.2,1117.53,19.11,Excess,265.1444444
Parvathipuram Manyam,54.75,7.48,4.21,117.89,9.1,0,98,969.75,1082.93,11.67,Normal,260.4566667
Alluri Sitharama Raju,47.47,17.63,2.92,72.56,7.57,0,111,1110.7,1238.76,11.53,Normal,289.8455556
Visakhapatnam,129.1,14.73,7,142.4,12.19,0,63,975.89,1090.27,11.72,Normal,270.5088889
Anakapalli,87.33,12.84,4.57,89.1,9.64,0,78,997.48,1161.89,16.48,Normal,271.2055556
Kakinada,92.14,10.13,7.1,48.48,9.51,0,87,980.16,1122.32,14.5,Normal,261.8711111
Konaseema,122.7,11.55,18.97,93.37,9.66,0,81,1184.69,1309.48,10.53,Normal,314.6022222
East Godavari,56.82,7.38,6.73,28.79,9.54,0,93,1018.05,1192.97,17.18,Normal,268.1422222
West Godavari,93.65,9.64,16.25,56.46,9.79,0,77,1116.71,1329.24,19.03,Excess,300.9711111
Eluru,42.04,10.74,7.64,21.41,9.86,0,91,959.05,1378.84,43.77,Excess,280.0644444
Krishna,97.34,10.36,23.44,24.5,7.07,0,72,956.14,1142.27,19.47,Excess,259.2355556
NTR,41.74,11.48,6.92,11.85,10.1,0,79,947.23,1329.6,40.37,Excess,270.88
Guntur,77.03,6.3,15.89,19.63,7.97,0,68,802.69,1120.54,39.6,Excess,235.3388889
Bapatla,122.63,17.99,28.02,34.87,11.32,0,63,838.47,976.16,16.42,Normal,232.4955556
Palnadu,67.91,12.89,12.05,23.49,8.39,0,72,692.63,933.53,34.78,Excess,202.5433333
Prakasam,136.17,57.2,43.45,98.34,11.34,0.05,70,762.28,864.98,13.47,Normal,227.09
Sri Potti Sriramulu Nellore,295.46,171.57,98.45,197.74,12.53,3.58,68,976.28,1084.33,11.07,Normal,323.1044444
Kurnool,28.38,8.19,8.04,11.04,3.19,0,54,548,621.88,13.48,Normal,142.5244444
Nandyal,26.95,15.62,6.99,53.3,2.29,0,71,658.47,794.87,20.71,Excess,181.0544444
Ananthapuramu,28.64,22.05,9.81,31.59,1.75,0.09,59,460.78,678.05,47.15,Excess,143.5288889
Sri Sathya Sai,40.6,25.02,10.04,61.25,1.47,0.13,58,528.69,769.46,45.54,Excess,166.0733333
Y.S.R Kadapa,76.92,51.34,18.62,105.6,1.76,0.64,58,632.71,772.02,22.02,Excess,190.8455556
Annamayya,109.21,79.28,39.71,209.01,5.58,8.31,76,673.67,927.52,37.68,Excess,236.4766667
Chittoor,141.21,65.08,54.44,244.69,4.91,26.23,89,815.93,1096.68,34.41,Excess,282.0188889
Tirupati,288.94,160.95,122.71,274.01,15.97,30.4,92,1045.36,1184.27,13.29,Normal,357.1788889
TOTAL,95.52,43.69,22.34,97.88,7.96,3.41,117,868.73,993.5,14.36,Normal,250.0033333
